Content Title,Content Description,Content Type,Content Last Watched Date (if viewed),Content Completed At (if completed),Content Saved,Notes taken on videos (if taken),
SOLIDWORKS: Sheet Metal Design,"CAD software like SOLIDWORKS makes sheet metal design quick and cost effective. This course gets you up to speed with the sheet metal tools in SOLIDWORKS, and takes you on a trip to the factory floor to see the final manufactured results. Instructor Gabriel Corbett shows what goes on behind the scenes and provides tips on designing parts for the real world.<br><br>

First, review the sheet metal tools in SOLIDWORKS and the properties that make sheet metal unique: bend radius, K-factor, bend deduction, gauge thickness, and more. Then learn how to create basic parts, with base features, flanges, and bends that add strength and connections. Find out how to flatten parts and add holes, cuts, and corners that are manufacturing ready, and use the Convert to Sheet Metal command to convert imported geometry into native sheet metal parts. Gabriel also shows you how to create assemblies from multiple parts, use the Pattern and Mirrors tools to effortlessly duplicate existing work, and then document your designs with detailed sheet metal drawings. Watch the bonus videos to learn about the different machinery and processes that occur during manufacturing.",Course,2019-01-14 02:01 UTC,N/A,false,N/A,
SketchUp Pro 2022 Essential Training,"Build your 3D modeling skills by mastering the basics of SketchUp. In this course, instructor Tammy Cody helps you get up to speed with this easy-to-use computer modeling application by reviewing the drawing and design tools offered in the latest version of SketchUp and then creating the opportunity to practice what you’ve learned. Find out how to navigate the interface, manipulate objects, draw and organize elements, and work with materials and textures on both Windows and Mac computers. Get tips along the way to apply simple styles and animation techniques to make your 3D projects more polished and presentable.",Course,2023-04-10 19:56 UTC,N/A,false,N/A,
AutoCAD: Designing Dynamic Blocks,"Build intelligence into your AutoCAD drawings with dynamic blocks. Dynamic blocks allow you to quickly change the shape, size, position, orientation, and visibility of objects in blocks according to parameters and constraints that you define ahead of time. In this course, author Scott Onstott shows step-by-step how to build everything from static blocks to complex dynamic blocks that include parameters, actions, and geometric and dimensional constraints with preset attributes driven by fields. Once you have built and refined dynamic blocks, you will learn several methods to share your masterpieces with colleagues.",Course,2018-10-12 00:39 UTC,N/A,false,N/A,
Rhino: Furniture Design,"Learn a process-based approach for the designing furniture with Rhino, focusing on the creation of complex surfaces that leverage the powerful modeling and prototyping tools of Rhino 3D. This course has four parts.<br><br>

<b>General concepts</b><br>
Start by framing your work and exploring big questions such as ""What is furniture design?""<br><br>

<b>Case studies</b><br>
Next you will learn by doing, modeling some of the important pieces of furniture history (such as the Thonet café chair and Eames DCM chair) to gain a better understanding of the masters of design.<br><br>

<b>Design process</b><br>
Explore the furniture design process by following along with the research, schematic design, design development, and documentation of a brand-new furniture design.<br><br>

<b>Extend and translate</b><br>
Last learn how to translate your furniture design to other software by exporting assets for 3d printing, rendering, and game development.<br><br>

The training is focused on the creation of complex organic surfaces while you maintain precise control of that geometry's accuracy. Packed with tips and timesaving strategies, these tutorials will not only make you a better furniture designer, but a faster one as well.",Course,2018-08-22 17:08 UTC,N/A,false,N/A,
Landscape Photography: Washington's Palouse Region,"Explore the beautifully stark Palouse region of Washington State, with landscape photographer Justin Reznick. After reviewing the roadmap for Palouse, Justin moves on to shooting techniques focused on isolating parts of the landscape and compressing distance. He takes these photographs into Photoshop, where he discusses his post-processing workflow.<br><br>

Then Justin revisits the landscape, shooting panoramas and composites he'll stitch together in post. Next, he reviews the gear he uses, and then treks to Palouse Falls to photograph a waterfall, and explains the special exposure considerations for sunrise shots. In the last chapter, Justin reviews the final images from the trip and shares tips for aspiring landscape photographers.",Course,2018-08-24 22:40 UTC,N/A,false,N/A,
Premiere Pro Guru: Video Finishing Techniques,"Finishing is the last step before a video project can be considered complete. It includes tasks like checking for gaps, bad transitions, and other visual errors, and may require color correction, broadcast legalization, or finessing of graphics. In this installment of <em>Premiere Pro Guru</em>, colorist and author Robbie Carman guides you through finishing a video with Premiere Pro CC and other Creative Cloud applications. He'll walk you through each step in a typical finishing workflow, from improving a render to developing your final look. So dive in and learn how to take your projects from good to great.",Course,2019-02-28 13:52 UTC,N/A,false,N/A,
After Effects Guru: Working with Photoshop Files,"Photoshop is well suited for creating initial concept boards, storyboarding, and preparing elements for animation in After Effects. By doing this prep work in Photoshop, you can save precious render time later in the animation process. In this course, After Effects guru Ian Robinson shows how use channels and masks to isolate selected elements from stills. He also creates storyboards in Photoshop and optimizes those documents to speed up the next step in the process: animation in After Effects. Plus, learn how to create depth mattes, correct lens distortion and sharpen video using Photoshop's video editing capabilities, and use the data sets modular workflow to speed up creation of repetitive elements like lower thirds.",Course,2019-04-18 04:31 UTC,N/A,false,N/A,
Maya: Fundamentals of Medical Animations,"Medical animations indulge our curiosity about the human body by allowing us to peer within at key biological processes and anatomy. They are valuable communication tools for teaching healthcare professionals, trainees, and the general public about the wonders of the human body.  In this course, learn about the basic principles and techniques of 3D medical animation using Autodesk Maya 2018. Discover where to find good resources and references, how to use the Protein Data Bank to download 3D models for molecular animation, and how to approach storyboarding. Learn how to create some basic medical animations, including cell division and blood cell flow. Plus, explore common visual aesthetics in medical animations and see how to use lighting and material shading to make your animations stand out.",Course,2018-10-09 04:26 UTC,N/A,false,N/A,
Docker for Developers (2019),"Docker containers help you simplify your application delivery. In this course, instructor Emmanuel Henri shows developers how to leverage this popular platform for application development. Emmanuel digs into basic Docker concepts and use cases for developers, explaining how Docker and its tools can help you maximize your time. Discover how to install Docker on Windows, Linux, and Mac computers; use the platform when developing front-end, back-end, and full-stack projects; approach CI/CD with Docker; and explore other tools, including Kubernetes, the widely-used container orchestration engine.",Course,2020-01-13 16:03 UTC,N/A,false,N/A,
Additive Manufacturing for Business,"Gain insights into the world of additive manufacturing, going beyond the hype of 3D printing by focusing on actual business cases. First, gain an understanding of key additive manufacturing processes, including stereolithography, jetting, extrusion, working with powder beds, ultrasonic consolidation, and more. Next, explore how additive manufacturing can apply to your business, from product planning and modeling to development and evolution. Then, consider the case studies presented where additive manufacturing is used today.",Course,2019-11-21 14:08 UTC,N/A,false,N/A,
CONTENT METADATA NO LONGER EXISTS - urn:li:lyndaCourse:85088,CONTENT METADATA NO LONGER EXISTS - urn:li:lyndaCourse:85088,Course,2018-07-19 01:08 UTC,N/A,false,N/A,
Diverse Talent in Recruiting and Hiring,"Workplace diversity and inclusion is a key priority area for organizations large and small. Hiring managers need to be able to locate, hire, and onboard diverse candidates in order to succeed. This course is a guide that can help you develop a diversity hiring strategy, increase your candidate pool, and remove bias from your screening and interview process. Award-winning management consultant Christie Lindor articulates the definitions of diversity and diversity hiring and helps you plan for a bias-free recruitment process, create more diverse recruiting teams for more diverse hiring, and adopt best practices when it comes to candidate screening, interviews, and evaluations. Plus, learn how to make your efforts authentic by understanding the motivational triggers and factors that candidates consider when weighing new roles and opportunities.",Course,2024-03-09 15:50 UTC,N/A,false,N/A,
Revit: Rhino Workflow,"Rhino and Revit both have a firm place in the architecture and construction workflow.  Rhino is an ideal program to model complex forms for iterative conceptual projects while Revit excels in creating BIM driven projects with layers of information. In this course instructor Olivia Morgan shows you how to seamlessly move between these programs in a safe and practical workflow.<br><br>Learn effective modeling techniques and vetting tools in Rhino projects to create models that meet Revit-specific, Brep-based geometry standards. Explore different methods for importing and linking your cleaned up Rhino model so that you can get your geometry into Revit safely. Find out how to prepare a Revit model for a Rhino import in different real-world scenarios, and how the new Rhino.Inside.Revit plugin can streamline your workflow with live importing and exporting between Rhino and Revit. By the end of this course, you will have the skills you need to leverage the new workflow in your own projects.",Course,2023-11-01 23:10 UTC,N/A,false,N/A,
Unreal Engine 4: Realtime Motion Graphics,"Unreal bridges the gap between 3D motion graphics and the processing power of real-time game engines. You can create content in familiar tools (CINEMA 4D and Maya) and use Unreal to animate and render those assets. This workflow allows for the creation of gorgeous imagery while bypassing the traditional time-consuming rendering process of traditional 3D tools.<br><br> 

This course offers mograph designers a quick-start guide to real-time motion graphics in Unreal Engine 4 (UE4). Scott Pagano shows how to prep and import both static and animated geometry and animate objects and cameras with the Matinee Editor. He shows how to flesh out your scenes with Unreal's lighting and shading tools, and export video files and image sequences for further refinement in software such as After Effects. Following the quick-start chapter are three real-world projects that demonstrate the power of the workflow.<br><br>

This forward-thinking approach to motion graphics leaves antiquated processes behind and presents modern, efficient, and fun ways to create 3D imagery. Once you have a grasp of how to import, animate, and make your content look great in UE4, the doors are open to dive into worlds of virtual reality, gaming, and interactive content. Check out more of our Unreal training here.",Course,2017-09-14 03:50 UTC,N/A,false,N/A,
Teaching Civility in the Workplace,"Focusing on eradicating negative behaviors isn’t always enough to create a happy workplace. Employees and managers also need to learn what they should do to make their environment a respectful and pleasant one. In this course, join Catherine Mattice Zundel as she shares how to create a happier, healthier workplace by teaching civility and setting a good example with your own behavior. Learn about negative behavior as a social phenomenon, what microaggressions look like in action, and how to replace negative language with positive words. Plus, get tips for becoming a more active listener, standing up for yourself when you experience microaggressions and incivility, and coaching others.",Course,2024-03-01 13:22 UTC,N/A,false,N/A,
3ds Max: Rendering with Arnold (2017),"Arnold is a high-quality rendering engine in 3ds Max 2018. Realistic rendering is easier than ever with this brute force Monte Carlo ray tracer. The physically-based rendering of Arnold accurately simulates light in the real world, but allows the breaking of physical laws to achieve artistic styles. This course is an overview of the core features of Arnold for lighting, materials, and rendering in 3ds Max.",Course,2019-01-20 05:12 UTC,N/A,false,N/A,
VFX Techniques: Space Scene 02 Compositing in After Effects,"What makes a 3D space battle even more spectacular? Compositing in Adobe After Effects. Learn to take the render-pass sequences of the spaceship versus asteroid scene you created in part 1 of this series, <em>VFX Techniques: Space Scene 01: Maya Animation and Dynamic Simulation</em> and recombine them in After Effects. Author Lee Lanier shows how to integrate shading and color in your render passes, animate the flames emitting from the spaceship, and create a particle simulation that makes the asteroid explosion seem more realistic. You'll also learn to replicate glows, lens flares, film grain, and camera motion along the way.",Course,2018-11-22 15:39 UTC,N/A,false,N/A,
Wedding Photography: Bridal Portraits,"Learn to capture the personality of a bride and the energy and emotion of the moment during a wedding photography session. In this course, photographer, teacher, and author Chris Orwig shares his creative insights for shooting authentic and beautiful bridal portraits. The course begins with details on preparation: talking with the bride about her desires for the portrait, and scouting the location to find the best places to shoot. Next, Chris photographs a bride, illustrating techniques for lighting and employing props to help relax the subject and add fun and energy to the photograph. The course concludes with a review of the photos and some ideas for further inspiration.",Course,2018-08-25 00:16 UTC,N/A,false,N/A,
SOLIDWORKS: Advanced Simulation,"Before parts can be manufactured, SOLIDWORKS designers need to perform advanced stress analysis using simulations. This process is called finite element analysis or FEA. Join instructor Tony Abbey in this course, as he teaches this vital skill using the rich simulation features in SOLIDWORKS Premium 2018. Learn how to break up and mesh models, set loads and boundary conditions, and fix and re-mesh geometry. Explore the 3-2-1 and plane strain methods for measuring stress and displacement. After optimizing each design, Tony runs an analysis and compares the before and after results so you can see how the stress is reduced.",Course,2018-08-29 13:23 UTC,N/A,false,N/A,
Drawing Simplified Maps in Illustrator (2018),"Mapping is a common design task. Designers are asked to reinterpret map data to make a location—think a theme park or college campus—seem friendlier or more approachable. In this course, Tony Harmer teachers you how to create a simple, easy-to-read map in Illustrator, using the ArcGIS plugin and other basic reference tools. Tony explains what you should consider before drawing your map, including its purpose, audience, and destination (print or digital), and then shows how to build a map that is scaled correctly and includes important topographical features and landmarks, such as roads and buildings. He enhances the map with dynamic markers, perspective, and labels, and then he shows how to add motion and interactivity to make your maps more useful in today's connected world.",Course,2019-03-03 07:03 UTC,N/A,false,N/A,
Douglas Kirkland on Photography: Natural Light Portraiture,"In the <em>Douglas Kirkland on Photography</em> series, well-known photographer Douglas Kirkland explores a variety of real-world photographic scenarios, sharing technique insights and critiquing the results.<br><br>In this installment of the series, Douglas explains how he works with natural light to create beautiful portraits. He shows how to make subtle changes to the light to improve its qualities and make the most of the environment he's working in.  He reviews the images he considers the best of the day and also shows examples of how he uses Photoshop to complete his workflow and finish the images.",Course,2020-03-29 15:14 UTC,N/A,false,N/A,
Prototype a CRM Mobile App with Framer,"You can use Framer to create complex prototypes for mobile CRM applications. Learn how to build a mockup, simulate interactions with animations, prototype concepts, and more. Instructor Emmanuel Henri walks through how to research colors, styles, and fonts to find the right ones for your project. He also shows how to create navigation and views, add inputs with the help of a class, and add animations and interactions.",Course,2018-09-01 13:54 UTC,N/A,false,N/A,
"Creative Inspirations: Rick Smolan, Photographer","Rick Smolan is responsible for some of the largest photographic projects ever undertaken. A former <em>Time</em>, <em>Life</em>, and <em>National Geographic</em> photographer, Rick created the best-selling Day in the Life book series and many other large-scale photographic projects, such as America 24/7, 24 Hours in Cyberspace, and Blue Planet Run. He pushes the boundaries of technology with each new project while delivering inspiring books that tell masterful photographic stories. His projects have been featured on the covers of magazines such as <em>Fortune</em>, <em>Time</em>, <em>Newsweek</em>, and <em>U.S. News & World Report</em>. This installment of Creative Inspirations takes viewers inside Rick's latest production, where he reveals his unique processes and shows how he reinvents himself for each new project.",Course,2018-10-03 16:25 UTC,N/A,false,N/A,
InVision for UX Design,"InVision is a platform that provides UX designers with a set of powerful tools for creating interactive prototypes, collaborating with teammates, and managing their UX design workflow. In this course, learn how to leverage these tools to quickly and efficiently create high-quality prototypes. Emmanuel Henri familiarizes you with the interface, and explains how to create and share boards. He also shares how to sync assets, share assets across projects and teams with Craft, provide feedback across distributed teams and workgroups, and more.",Course,2018-10-13 13:58 UTC,N/A,false,N/A,
Houdini Engine for Cinema 4D and Maya,"The procedural power of Houdini is now accessible in other applications via the Houdini Engine plugin. This allows technical directors to package and export systems as Houdini digital assets (HDAs) for use in environments that artists are already comfortable with Maya, CINEMA 4D, and other popular 3D tools.<br><br>

This course introduces the typical Houdini pipeline for creating complex systems that can be passed along to shot creation. Scott Pagano shows how to load the Houdini Engine in Maya and CINEMA 4D, create simple geometric networks, build more complex particle systems and fluid simulations, and create a procedural building generator for quickly blocking out buildings in Maya and C4D scenes.",Course,2018-08-14 02:57 UTC,N/A,false,N/A,
Modeling Vehicles in Maya,"In this course, Ryan Kittleson models a fully detailed Shelby Cobra automobile using both polygon and NURBS modeling techniques. The body, wheels, and interior are all modeled from scratch using blueprints and reference photos. The course covers aspects of modeling useful for many types of objects that go beyond automobiles, such as modeling complex shapes, editing NURBs objects, and creating clean models from scan data.",Course,2018-11-14 23:36 UTC,N/A,false,N/A,
Cloth Simulation: 3ds Max,"The Cloth system in 3ds Max allows you to create realistic garments and fabrics, from T-shirts to tablecloths. This course, from author Joel Bradley, provides a deep dive into cloth simulation in 3ds Max, giving you the information you need to tackle your own project. Joel examines the effect of scale on cloth behavior, the impact different mesh subdivision types can make on your model, and the function and options behind the Cloth modifier, the heart of the Cloth system. He also shows how to set up and control behaviors like bend and curve, U and V Stretch, Density, Thickness, and Friction. Plus, discover how to work with groups and constraints and create effects like wet cloth and tearable cloth.<br><br>

This course was created and produced by Joel Bradley. We are honored to host this content in our library.",Course,2018-08-01 03:01 UTC,N/A,false,N/A,
SOLIDWORKS Simulation: Dynamic Analysis,"Learn how to perform dynamic analysis using SOLIDWORKS Simulation. The course starts by covering dynamics theory and normal modes analysis. Dynamic analysis concepts are covered, including damping, mass participation, modal methods, and direct methods. Next, transient analysis is explored, including modal transient response, direct transient response, and base motion in dynamic response. Then, frequency response analysis, followed by how to interpret results.",Course,2018-12-05 14:09 UTC,N/A,false,N/A,
SketchUp: Kitchen Design,"Have you been thinking about renovating your kitchen? Design the kitchen of your dreams with SketchUp. This course teaches you how to design a new kitchen that fits your existing space using ""the easiest, most fun, entirely free 3D drawing tool in the world."" Scott Onstott shows how to model and demolish your current kitchen to make room for the new design, and start adding new cabinets, counters, appliances, fixtures, and lighting, as well as modern, must-have features such as a standalone island. Along the way, you'll learn how to work with SketchUp's layers, groups, components, styles, scenes, and ready-made models from the 3D Warehouse. All you need to get started is to download a free copy of SketchUp.",Course,2019-03-06 07:23 UTC,N/A,false,N/A,
Revit Architecture 2013 Essential Training,"Find out how to create compelling architectural designs using the modeling tools in Autodesk Revit software. In this course, author Paul F. Aubin demonstrates the entire building information modeling (BIM) workflow, from creating the design model to publishing a completed project. The course also covers navigating the Revit interface; modeling basic building features such as walls, doors, and windows; working with sketch-based components such as roofs and stairs; annotating designs with dimensions and callouts; and plotting and exporting your drawings.",Course,2020-03-15 14:45 UTC,N/A,false,N/A,
SketchUp for Architecture: Details (2015),"This installment of <em>SketchUp for Architecture</em> picks up where <em>Fundamentals</em> left off. Paul J. Smith shows how to create some typical construction details for a residential building project with SketchUp. He'll start with the foundations and then build up the external cavity wall with brick and block components to the slab level before completing the wall, adding a window opening, and installing a timber casement window created from imported CAD profiles. He'll also load and add premade materials for a more realistic appearance and export the model for rendering in LayOut.<br><br>

This installment concentrates on organizing the details in your scenes with the Outliner and Layers panels. As the course shows, well-built and organized SketchUp components allow architects to have greater flexibility at every stage of the design process.",Course,2018-10-04 03:47 UTC,N/A,false,N/A,
Learning Revit 2021,"Autodesk Revit is one of the most popular building information modeling (BIM) solutions today. In this course, join Paul F. Aubin as he delves into the basics of Revit 2021, showing architects and engineers who are new to the software how to work with its key features. Learn how to choose a template; set up the basic levels, grids, and dimensions; and start adding walls, doors, and windows to your model. Paul also demonstrates how to create views and documentation that clearly communicate your plans, import files from other CAD programs, and produce construction documents.",Course,2020-05-23 20:37 UTC,N/A,false,N/A,
Learning RealFlow,"RealFlow is the motion picture industry's standard tool for liquid simulations. It's a standalone application that offers robust interoperability with most popular 3D programs. In this introductory course, you'll explore the powerful features of the RealFlow core application, and see how RealFlow is integrated into Maya and 3ds Max.<br><br>

You'll learn how to create small-scale effects with standard particles, create free-flowing water effects with the Hybrido solver, and simulate open bodies of water such as oceans and ponds with RealWave. Author Aaron F. Ross also shows how to control interactions between objects and fluids with Caronte, the rigid- and soft-body physics engine included with RealFlow.",Course,2018-07-26 00:29 UTC,N/A,false,N/A,
G-Code Programming for CNC Foundations,"G-Code is the code that controls CNC machining centers, CNC lathes, CNC routers, and most 3D printers. This course teaches the fundamentals of G-Code to the programmers, engineers, and designers that need to write, read, and edit it. It also takes you to the Haas factory floor to see how the code works on a real HAAS VF3 SS machining center. Instructor Gabriel Corbett reviews the most popular G-codes for movement, positioning, selection, drilling, and tapping, as well as M-codes for tool changes, spindle starting and stopping, and control of coolant. At the end of the course, Gabriel machines a complete part at the HAAS factory on a high-speed CNC machining center. The G-code routines used include advanced adaptive contouring routines for outside roughing, pocketing, drilling, tapping, and so much more.",Course,2018-08-21 17:05 UTC,N/A,false,N/A,
3D Scanning a Person,"New consumer-grade 3D sensors in products like the Microsoft Kinect make scanning people easy! And with 3D printers, you can turn those scans into ""Mini-Mes"" that can be used as cake toppers, game tokens, or action figures. In this course, Kacie Hultgren will guide you through the process of creating a ""3D selfie"" that's ready for printing. Kacie uses the free software Meshmixer to repair and enhance the scan, before printing it with a MakerBot. Don't own a 3D printer? Kacie also shows how to export your model and send it to Shapeways, where you can order a 3D print.",Course,2018-12-11 17:47 UTC,N/A,false,N/A,
SketchUp for Architecture: LayOut (2015),"Join Paul J. Smith in this course and learn how to link your SketchUp model to LayOut and generate professional looking plans, views, and elevations. This course, focusing on the advanced features in SketchUp Pro, starts with a complete SketchUp model and looks at how scenes, styles, and active section planes enable you to control your 3D model in LayOut. Paul will show how scenes, styles, and section cuts work together to generate the 3D and 2D information you need to produce a set of working drawings. Then learn to dimension and annotate with LayOut's powerful yet simple tool and call on the power of the scrapbook to add entourage, images, and symbols in your drawings.  Paul will also explain the way LayOut and SketchUp link together, where to store your templates and scrapbook elements, and how to avoid missing references. It's a comprehensive course covering all the steps required to leverage the 2D from the 3D.",Course,2018-12-04 13:02 UTC,N/A,false,N/A,
VFX Techniques: Compositing an Explosion with Fusion 7,"Make your films more ""explosive"" with Fusion, Blackmagic Design's free compositing software. This course covers the steps necessary to create a 3D scene integrating live-action footage with 3D virtual renders of a car explosion. Artist/author Lee Lanier shows how to import the assets you'll need for the shoot (including video, static artwork, and 3D renders), assemble the footage with node-based compositing, and make the composite seamless with color grading. Fluid dynamics simulations from Maya are used to emulate the explosion, dust, and debris of the explosion, and Lee achieves realistic rendering through the use of materials, lights, cameras, reflections, shadows, motion blur, and depth of field. Start watching to put this essential VFX technique into practice in your own films.",Course,2018-11-24 17:03 UTC,N/A,false,N/A,
Revit for Interior Architecture,"Autodesk Revit boasts powerful tools that allow you to efficiently plan and manage your projects, and visualize your designs. In this course, discover how to use Revit during the interior design process. Instructor Brian Myers demonstrates how to organize your project browser, assign finishes to rooms, and create new materials and custom wall types. He also shows how to model Revit families; create furniture such as tables and sofas; create a casework family; create, view, and finalize design options; and more.",Course,2018-10-17 01:54 UTC,N/A,false,N/A,
Dynamo for Revit Project Setup,"By automating the setup of Autodesk Revit project files using Dynamo—instead of manually performing each setup task yourself—you can save time and enhance your overall productivity. In this course, learn how to apply basic visual programming concepts to build scripts to automate the repetitive tasks involved in setting up new projects in Revit. Join Ian Siegel as he takes you from start to finish through automating different project setup routines, including generating floor and ceiling plans, creating overall building elevations, and laying out the entire set of sheets for a project. When you wrap up this course, you'll be familiar with how to complete a Dynamo workflow that can help you tackle your BIM management work more effectively.",Course,2018-12-11 17:47 UTC,N/A,false,N/A,
AI Meets Accessibility: A Conversation with Ioana Tanase and Christina Mallon,"Artificial Intelligence can be both a boon and a challenge for people with disabilities and people with various accessibility needs. In this conversation, Accessibility Program Manager Ioana Tanase and Principal Director of Inclusive Design Christina Mallon from Microsoft join LinkedIn Senior Staff Instructor Morten Rand-Hendriksen for an in-depth discussion of how AI impacts accessibility, and inclusive design.",Course,2024-07-29 05:23 UTC,N/A,false,N/A,
3ds Max: Revit Integration,"Discover how to efficiently take a model from Autodesk Revit into Autodesk 3ds Max. In this course, Adam Crespi goes beyond basic exporting and importing to show a streamlined workflow that optimizes Revit models for flexibility in rendering and design with 3ds Max. As part of this workflow, Adam covers optimizing a Revit model for export, breaking up large meshes, and best practices for export. In 3ds Max, he discusses importing a Revit model, applying smoothing groups, adjusting UV coordinates, integrating substances, fine-tuning materials, and creating test renderings.",Course,2019-01-09 20:59 UTC,N/A,false,N/A,
SketchUp & Revit Workflow,"Architects and designers: Discover a new modeling workflow that maximizes creativity and quality. Learn how to use SketchUp for conceptual modeling and move to Revit for refinement. Paul J. Smith also shows how to build massing studies and site context models in SketchUp and import them into Revit, along with many other tips and techniques to enhance your productivity. Plus, learn to take advantage of ready-made objects in SketchUp's 3D Warehouse and import Revit files in SketchUp when you want to take advantage of Revit's strengths for projects such as floor plans and stairs.",Course,2019-03-26 17:42 UTC,N/A,false,N/A,
Photoshop for Photographers: Lighting Effects,"Lighting is central to photography and most of it is captured during a photo shoot. However, you can often create amazing lighting effects after the photo is taken with Adobe Camera Raw and Photoshop. Photographer and teacher Chris Orwig shows you how. First, you'll learn to modify exposure and enhance the color and quality of light with Camera Raw. Then turning to Photoshop, Chris shows how to mask corrections to a specific area of an image and add contrast and color with blending modes. Plus, learn to dodge and burn away shadows and add one or more light sources to your photos with the Lighting Effects filter.",Course,2018-07-30 23:18 UTC,N/A,false,N/A,
SOLIDWORKS: Mold Design,"For thousands of years, molds have been used to form raw materials like clay and metal into art, jewelry, and tools. With modern plastics, software, and manufacturing technologies, it's possible to cast almost any object from a mold. This course is an introduction to mold design in SOLIDWORKS, for everything from one-off prototyping to mass-manufacture of a variety of products. Learn best practices for getting repeatable, high-quality results with 3D printing and CNC machines. Design consultant and instructor Tam Black also provides an overview of the materials available for at-home and industrial-scale molding and casting, and helps you understand which production method is suitable for your scale of manufacture.",Course,2018-12-06 05:50 UTC,N/A,false,N/A,
Migrating from AutoCAD to MicroStation Intermediate,"While MicroStation and AutoCAD share some similar elements, there are enough differences to make transitioning from one CAD application to the other somewhat challenging. If you're planning on making the switch from AutoCAD to MicroStation, this course can help by illustrating how to leverage your existing AutoCAD knowledge to get up to speed with MicroStation. Jeanne Aarhus builds on the concepts covered in <em>Migrating from AutoCAD to MicroStation</em>, and provides a comparison between corresponding intermediate features in MicroStation V8i-SS4 and AutoCAD 2018. Jeanne covers additional draw commands, shares techniques for working with text and dimensions, explains how to use measure commands, and more.",Course,2018-09-01 14:24 UTC,N/A,false,N/A,
Business Analytics: Sales Data (2022),"Your job is far from over after you close a deal. The sales that are happening at your organization can tell you much more than just how much revenue you earned. In this focused course from John David Ariansen, learn how to harness your sales data to create actionable insights that can help your organization get more leads, close more deals, and ultimately grow your book of business. Discover the challenges sales analysts encounter, the nuances of sales data collection, and how to effectively analyze sales data.<br><br>

<br><br>This course was created by <a href=""http://www.onlymadecraft.com"" target=""_blank"">Madecraft</a>. We are pleased to host this content in our library.<br><br><img src=""https://media.licdn.com/media/AAYAAgCwAAoAAQAAAAAAAHppnBQxgeyWS2CsU3aDDPcMgw.jpg"" height=""25%"" width=""25%"">",Course,2024-06-06 11:35 UTC,N/A,false,N/A,
BASILE Studio: Designing Timeless Restaurants,"BASILE Studio builds restaurants, office spaces, and other high-end interiors that use classic materials—wood, glass, and steel—in high-tech ways. The results are unique and timeless—and surprisingly fast. By combining the design studio and the manufacturing arm of the business into a single seamless operation, BASILE Studio is able to offer clients the dream: custom design that's ready in a fraction of the normal time. In this short film, founder Paul Basile and his team reveal the ingredients that go into their compelling designs, and into the success of their firm. Get a tour of the factory floor, their state-of-the-art CNC tools, and their CAD-driven studio, and discover how rapid prototyping is transforming the future of interior design.",Course,2021-05-30 19:12 UTC,N/A,false,N/A,
Revit: View Range,"Floor plans are an essential part of any Revit project. And one of the most critical (and confusing) aspects of any floor plan is view range. The view range settings are linked to three horizontal planes that control the visibility and display of objects in a plan view—Top, Cut Plane, and Bottom—as well as an additional plane called View Depth. Properties can be adjusted through the View Range dialog, but only certain elements are ""cuttable."" There are special case rules for elements such as floors, walls, and stairs. Here Paul F. Aubin explains each of the view range settings and properties in detail, demystifying these functions once and for all. Learn what the cut plane does and why certain elements seem to have their own rules when it comes to interacting with the cut. Understand the above and below ranges and how you can control elements beyond. Find out how to control view range within plan regions and in linked files in Revit.<br><br>

Both floor plans and reflected ceiling plans will be considered, as well as roof and foundation plans. Once you have completed this course, you will finally understand exactly how Revit view range works.",Course,2019-08-22 13:41 UTC,N/A,false,N/A,
Working with Difficult People,"<p>In every workplace, you're likely to encounter colleagues who are more difficult to work with than others. But before you rush to judgment, you should determine if and how you might be contributing to the situation, and what you can do to help.</p><p>In this course, join psychologist Dr. Emily Anhalt as she shows you how to navigate and communicate with people who you find challenging to deal with at work. Pause and reflect on your role in challenging work situations to uncover how empathy can help you work better with others. Emily shares strategies to respond to a wide variety of particularly challenging work situations, including with people whose behavior is negative, absent, competitive, and passive-aggressive. By the end of this course, you’ll be prepared with new skills and practical strategies to have an effective conversation with someone you find difficult to work with.</p><p>This course includes AI-powered Role Play. Role Play allows you to practice what you’ve learned in interactive simulations of real-world conversations.</p>",Course,2024-07-18 03:46 UTC,N/A,false,N/A,
C# Essential Training: 1 Syntax and Object Oriented Programming,"Get started in Microsoft application development by learning C#. Fast, capable, and productive, C# combines the best features of C++ and Java—with none of the reference counting or performance concerns. We've broken our <i>C# Essential Training</i> course into two parts, so you can focus on the language features you need to learn most. This part teaches the essential components of the syntax, including variables, strings, operations, classes, and methods. Follow along with instructor Bruce Van Horn, and learn how to build a class inside a reusable library, which is then consumed by a simple user interface. Plus, learn about encapsulation, inheritance, and the extension methods that make C# a great object-oriented programming language. This course is your first and best resource for programming with C#—the simple, modern, and popular choice for Windows developers.",Course,2018-12-06 05:54 UTC,N/A,false,N/A,
